year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2023,4,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",85,7,3,0,3.08,0,0.92,0,2,428,250,0,87,0,91
2023,4,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",46,5,3.63,0.61,0.76,0,0,0,1,272,153,67,52,0,0
2023,4,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",61,5,0.68,0.07,3.32,0,0.93,0,1,204,36,2,141,0,25
2023,4,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",211,29,9.86,1,4.21,0,13.93,1,0,1346,384,39,115,0,808
2023,4,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1390,140,41.2,5.11,29.09,0,64.59,0,2,12486,4655,403,1190,0,6238
2023,4,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",17,3,2.89,0,0.11,0,0,0,0,273,255,0,18,0,0
2023,4,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",51,8,2.91,0,5.09,0,0,0,0,297,180,0,117,0,0
2023,4,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",56,9,3.47,0,0.98,0,4.54,0,0,712,288,0,38,0,386
2023,4,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",60,4,1.88,0,1,0,1.12,0,0,359,124,0,81,0,154
2023,4,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",75,9,4.21,0,1.17,0,3.61,0,0,404,87,0,61,0,256
2023,4,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",55,9,2.03,0,0,0,6.97,1,0,804,151,0,0,0,653
2023,4,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",160,27,7.09,0,5.67,0,14.25,4,0,1362,365,0,135,0,862
2023,4,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",72,15,3.37,1,2.08,0,8.55,0,0,1621,111,876,96,0,538
2023,4,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",9,1,1,0,0,0,0,0,0,43,43,0,0,0,0
2023,4,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",16,3,0.5,0,1.5,0,1,0,0,120,9,0,32,0,79
2023,4,9E,Endeavor Air Inc.,BQK,"Brunswick, GA: Brunswick Golden Isles",60,7,3.61,1.39,1.61,0,0.39,0,0,562,317,48,71,0,126
2023,4,9E,Endeavor Air Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",32,3,1.06,1,0,0,0.94,0,0,155,79,43,0,0,33
2023,4,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Burlington International",89,23,5.27,0,7.34,0,10.39,1,0,1281,393,0,292,0,596
2023,4,9E,Endeavor Air Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",242,34,8.27,0,12.4,0,13.33,5,0,2220,651,0,472,0,1097
2023,4,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",88,13,3.23,0.75,4.54,0,4.48,4,0,1772,190,794,214,0,574
2023,4,9E,Endeavor Air Inc.,CAE,"Columbia, SC: Columbia Metropolitan",70,9,1.96,0,2.01,0,5.02,0,0,804,158,0,56,0,590
2023,4,9E,Endeavor Air Inc.,CHA,"Chattanooga, TN: Lovell Field",120,7,2.98,0.52,2.86,0,0.65,0,1,226,135,16,64,0,11
2023,4,9E,Endeavor Air Inc.,CHO,"Charlottesville, VA: Charlottesville Albemarle",132,24,10.49,1,4.7,0,7.81,0,0,1634,701,23,120,0,790
2023,4,9E,Endeavor Air Inc.,CHS,"Charleston, SC: Charleston AFB/International",219,37,10.08,0,12.36,0,14.55,5,0,1737,489,0,385,0,863
2023,4,9E,Endeavor Air Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",237,32,11.72,0,6.99,0,13.29,2,0,1886,560,0,600,0,726
2023,4,9E,Endeavor Air Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",109,26,4.12,0,11.21,0,10.67,1,0,1807,403,0,666,0,738
2023,4,9E,Endeavor Air Inc.,CMH,"Columbus, OH: John Glenn Columbus International",32,3,0,0,2.05,0,0.95,0,0,122,0,0,101,0,21
2023,4,9E,Endeavor Air Inc.,CSG,"Columbus, GA: Columbus Airport",77,7,1.68,0.98,2.54,0,1.81,0,3,257,75,52,64,0,66
2023,4,9E,Endeavor Air Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",573,82,24.03,3.47,22.5,0,32,0,2,5741,1036,277,1209,0,3219
2023,4,9E,Endeavor Air Inc.,CWA,"Mosinee, WI: Central Wisconsin",60,4,0.91,0,1.69,0,1.4,0,0,269,86,0,86,0,97
2023,4,9E,Endeavor Air Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",51,4,0.78,1,0.24,0,1.98,0,1,170,23,18,7,0,122
2023,4,9E,Endeavor Air Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",167,30,7.75,3.21,11.99,0,7.05,0,0,1686,480,219,648,0,339
2023,4,9E,Endeavor Air Inc.,DHN,"Dothan, AL: Dothan Regional",60,5,2.89,0.18,1.87,0,0.06,0,0,423,295,15,104,0,9
2023,4,9E,Endeavor Air Inc.,DLH,"Duluth, MN: Duluth International",39,5,1.75,0,1,0,2.25,1,0,461,151,0,21,0,289
2023,4,9E,Endeavor Air Inc.,DSM,"Des Moines, IA: Des Moines International",184,22,6.57,2.89,6.51,0,6.03,0,2,1012,352,161,199,0,300
